acc_y,acc_z,acc_dy,acc_dz,spd,pothole,date
0.028351,0.03418,0.001023,0.006852,9.77,0,1595201045166
0.047638,0.065125,0.019287,0.036774,9.77,0,1595201045353
0.077591,0.01506,0.029953,-0.032578,9.77,0,1595201045366
0.102234,0.004196,0.024643,-0.073395,9.77,0,1595201045489
0.071533,0.009186,-0.030701,-0.093048,9.77,0,1595201045660
0.075119,0.153702,0.003586,0.082169,9.77,0,1595201045680
0.047745,-0.186096,-0.027374,-0.261215,9.77,0,1595201045865
0.01561,0.055145,-0.032135,0.0074,9.77,0,1595201045895
0.044556,-0.169983,0.028946,-0.185593,9.77,0,1595201046006
0.056808,-0.329941,0.012252,-0.374497,9.77,1,1595201046172
0.147552,0.167664,0.090744,0.110856,9.77,1,1595201046273
0.052979,0.228699,-0.094573,0.081147,9.77,1,1595201046377
0.108109,0.253265,0.05513,0.200286,9.77,1,1595201046479
0.039108,0.096832,-0.069001,-0.011277,9.77,1,1595201046583
0.043121,-0.019287,0.004013,-0.058395,9.77,0,1595201046685
0.029404,-0.101212,-0.013717,-0.144333,9.77,0,1595201046785
0.112671,-0.07901,0.083267,-0.108414,9.77,0,1595201046881
0.030869,0.030701,-0.081802,-0.08197,9.77,0,1595201046993
0.026016,0.071014,-0.004853,0.040145,9.77,0,1595201047108
0.078873,0.043564,0.052857,0.017548,9.77,0,1595201047196
0.066055,0.09024,-0.012818,0.011367,9.77,0,1595201047298
0.072159,0.025787,0.006104,-0.040268,9.77,0,1595201047401
0.071671,0.017166,-0.000488,-0.054993,9.77,0,1595201047503
0.057373,0.013306,-0.014298,-0.058365,9.77,0,1595201047618
0.043839,0.085083,-0.013534,0.02771,9.77,0,1595201047700
0.061447,0.037582,0.017608,-0.006257,9.77,0,1595201047840
0.052628,0.041168,-0.008819,-0.020279,9.77,0,1595201047933
0.051544,-0.031891,-0.001084,-0.084519,9.77,0,1595201048015
0.074677,-0.012527,0.023133,-0.064071,12.29,0,1595201048220
0.061874,0.018051,-0.012803,-0.056626,12.29,0,1595201048220
0.053879,-0.015289,-0.007995,-0.077163,12.29,0,1595201048346
0.072128,0.077774,0.018249,0.023895,12.29,0,1595201048546
0.057495,0.065735,-0.014633,-0.006393,12.29,0,1595201048649
0.06813,-0.049011,0.010635,-0.106506,12.29,0,1595201048732
0.054535,0.023758,-0.013595,-0.044372,12.29,0,1595201048876
0.056961,-0.025116,0.002426,-0.079651,12.29,0,1595201048937
0.04068,0.008972,-0.016281,-0.047989,12.29,0,1595201048970
0.056458,0.087967,0.015778,0.047287,12.29,0,1595201049079
0.070847,0.030273,0.014389,-0.026185,12.29,0,1595201049236
0.070251,0.043472,-0.000596,-0.027375,12.29,0,1595201049338
0.036636,-0.052094,-0.033615,-0.122345,12.29,0,1595201049467
0.081848,-0.030106,0.045212,-0.066742,12.29,0,1595201049565
0.047287,-0.026382,-0.034561,-0.10823,12.29,0,1595201049654
0.055511,0.016602,0.008224,-0.030685,12.29,0,1595201049756
0.079865,0.042679,0.024354,-0.012832,12.29,0,1595201049871
0.088455,-0.022812,0.00859,-0.102677,12.29,0,1595201049961
0.092834,-0.041077,0.004379,-0.129532,12.29,0,1595201050068
0.065369,-0.10582,-0.027465,-0.198654,12.29,0,1595201050178
0.113785,0.117004,0.048416,0.051635,12.29,0,1595201050268
0.099533,-0.082138,-0.014252,-0.195923,12.29,0,1595201050396
0.127625,0.358109,0.028092,0.258576,12.29,0,1595201050473
0.095718,0.04715,-0.031907,-0.080475,12.29,0,1595201050597
0.088379,-0.083359,-0.007339,-0.179077,12.29,0,1595201050702
0.052567,-0.096985,-0.035812,-0.185364,12.29,0,1595201050798
0.05127,0.000076,-0.001297,-0.052491,12.29,0,1595201050886
0.078583,0.036911,0.027313,-0.014359,12.29,0,1595201051009
0.066574,-0.004059,-0.012009,-0.082642,12.29,0,1595201051190
0.036362,-0.029541,-0.030212,-0.096115,12.29,0,1595201051228
0.069565,-0.038025,0.033203,-0.074387,12.29,0,1595201051325
0.070419,0.01149,0.000854,-0.058075,12.29,0,1595201051497
